	ar_context	ar_label	name	hdi_context	hdi_label	purported_uses	ar_flag	hdi_flag
0	"Common: GI disturbances such as nausea, vomiting, or diarrhea (5) (13)
Less common: Headache, insomnia, palpitations (2) (5)
Case reports
Mania: Following combined use of an MAOI and 5-HTP in a patient without personal or family history of bipolar disorder (34).
Serotonin syndrome: Caused by an interaction between linezolid and 5-HTP (35).
Scleroderma-like illness: Pain, swelling of hands and feet, skin rash, and weight loss in a 70-year-old patient receiving combination therapy with carbidopa and 5-HTP (36).
Eosinophiliamyalgia syndrome (EMS) and eosinophilia: Linked to a 5-HTP product that contained impurities which was used by a family (32). Symptoms resolved after the product was replaced with one that did not have these impurities."	Nausea,Vomiting,Diarrhoea,Diarrhea,Headache,Insomnia,Palpitations,Mania,Bipolar disorder,Serotonin syndrome,Scleroderma,Illness,Pain,Swelling of hands,Swelling,Skin rash,Rash,Weight loss,Weight,Eosinophilia	5-HTP	Antidepressants/anxiolytics (tricyclic antidepressants, MAOIs, and SSRIs): Because 5-HTP can also raise serotonin levels, there is the theoretical potential for increased risk of side effects or toxicities. Larger clinical trials are needed to understand the clinical relevance of these risks.,Monamine oxdiase inhibitors: Case report of mania following use of an MAOI with 5-HTP in a patient without history of bipolar disorder (34).,Linezolid (Zyvox, an antibiotic MAOI): Case report of interaction with 5-HTP causing serotonin syndrome (35).,Carbidopa (Lodosyn, a dopamine promoter): Case of scleroderma-like illness with combination therapy of carbidopa and 5-HTP (36).,Lorcaserin (Belviq, a weight-loss drug): Locaserin is a serotonergic drug. The package insert warns of specific serious interactions when used with tryptophan (39). By extension, 5-HTP may also increase the risk of these side effects and should therefore be avoided when taking this drug.	Serotonin,linezolid,Zyvox,Antibiotic,Carbidopa,Lodosyn,Dopamine,lorcaserin,Belviq,Tryptophan	Anxiety,Depression,Fibromyalgia,Hot Flashes,Insomnia,Migraine,Mood Enhancer,Obesity,Stress	True	True
4	"Common: Injection site reactions, such as redness, inflammation, and soreness
 (1)"	Injection site reactions,Injection,Redness,Inflammation	714X	"According to Cerbe, Inc. the efficacy of 714X may decrease when administered concurrently with vitamin B12, vitamin E, and shark or bovine cartilage.
 (1)"	Vitamin,Vitamin E	Cancer prevention,Cancer treatment,Chronic fatigue syndrome,HIV and AIDS,Muscle pain,Rheumatoid arthritis,Systemic lupus erythematosus (SLE)	True	False
8	 	 	Acai Berry	Theoretically, Acai may interfere with the actions of certain chemotherapy drugs due to its antioxidant effects.		Cancer,Heart disease,Stroke,Diarrhea,Autoimmune disorders,Allergies	False	False
12	Consumption of agaricus has been associated with hepatic dysfunction in cancer patients (14).,Cheilitis has also been reported (15).	Cancer,Cheilitis	Agaricus	Cytochrome P450 substrates: Agaricus inhibits CYP3A4 and can affect the intracellular concentration of drugs metabolized by this enzyme (23).	Enzyme	Arteriosclerosis,Cancer treatment,Diabetes,Hepatitis,Hyperlipidemia,Stimulant	False	True
16	Diarrhea and itching have been reported in patients following administration of AHCC  (11).	Diarrhoea,Diarrhea,Itching	AHCC	"Cytochrome P450 substrates: AHCC induces CYP450 2D6, which may decrease the activity of drugs, such as doxorubicin or ondansetron, which are substrates of this enzyme (12).
Aromatase inhibitors: AHCC induces aromatase and may reduce the activity of aromatase inhibitor drugs, like letrozole (28)."	Activity,Doxorubicin,Ondansetron,Enzyme,letrozole	Cancer prevention,Cancer treatment	False	True
20	Increased fecal volume and defecation frequency, loose stools and diarrhea as well as abdominal discomfort and intestinal gas have all been reported in patients on alfalfa supplementation (5).	Loose stools,Diarrhoea,Diarrhea,Abdominal discomfort,Discomfort,Gas	Alfalfa	Because of its estrogenic activity, high levels of alfalfa may interfere with contraceptives and hormonal therapy (14).	Activity	Allergies,Asthma,Diabetes,GI disorders,High cholesterol,Lactation stimulation,Menstrual disorder,Promote urination	False	False
24	Topical administration of aloe gel is considered safe but oral consumption of aloe can cause gastrointestinal upset and electrolyte abnormalities.,Inappropriate use of aloe supplements has been linked to thyroid dysfunction (10), acute hepatitis (11), and perioperative bleeding (12).,A case of hypokalemia has been reported with use of aloe vera during chemotherapy (19).,Three cases of toxic hepatitis were reported following use of aloe preparations. Liver function was normalized after discontinuing aloe (22).,Long term exposure to Aloe vera can cause cancer in animals (28) .,Positive re-exposure tests have been reported with aloe, which highlight the herb’s potential for inducing liver injury (33).	Gastrointestinal upset,Hepatitis,Bleeding,Hypokalemia,Hypokalaemia,Chemotherapy,Cancer,Liver injury,Injury	Aloe Vera	Cytochrome P450 substrates: In vitro, aloe juice was found to inhibit CYP3A4 and CYP2D6 and can affect the intracellular concentration of drugs metabolized by these enzymes (24).,Sevoflurane: Aloe may have additive antiplatelet effects causing excessive bleeding during surgery (12).	sevoflurane	Burns,Cold sores,Colitis,Diabetes,Dry Skin,Inflammation,Pain,Pruritus	False	True
28	Hypoglycemia (4) (13)	Hypoglycaemia,Hypoglycemia	Alpha-Lipoic Acid	Hypoglycemic agents: ALA may produce synergetic effects (7).		Cancer prevention,Cancer treatment,Diabetes,Diabetic neuropathy,HIV/AIDS,Liver disease	False	True
32	Allergic reactions (7),Neurotoxicity (10),Emesis (6)	Neurotoxicity,Emesis	American pawpaw	 	 	Lice removal,Pesticide,Cancer treatment	False	False
36	"Case reports
Oral: Dermatitis and cyanide toxicity including nausea, vomiting, headache, dizziness, mental obtundation, cyanosis, hypotension, ptosis, neuropathies, coma, and death (10) (17) (29) (27) (30).
Oral: Severe cyanide poisoning following ingestion of 3 grams of amygdalin with concurrent use of high doses of vitamin C (26).
Oral: Consumption of amygdalin caused peripheral neuropathy in a patient with vitamin B12 deficiency (31).
Oral and Intraveous: Administration of intravenous and oral amygdalin caused cyanide poisoning characterized by serious agitaion and encephalopathy in a 4-year-old (33).
Oral: Hypoxia from cyanide toxicity after consumption of apricot kernel extract (34).
Oral: Cyanide poisoning, involving respiratory distress and coma following tonic-clonic convulsions, after ingesting apricot kernels in a 3-year old. Symptoms improved after hemodialysis (38).
Oral: Cyanide poisoning, after ingesting apricot kernels in a 35-year-old woman. Symptoms improved after treatment with hydroxocobalamin (40)."	Dermatitis,Nausea,Vomiting,Headache,Dizziness,Obtundation,Cyanosis,Hypotension,Ptosis,Coma,Death,Poisoning,Vitamin C,Vitamin,Neuropathy,Vitamin B12 deficiency,Vitamin B12,Encephalopathy,Hypoxia,Respiratory distress,Convulsions,Haemodialysis,Hemodialysis	Amygdalin	 	 	Cancer prevention,Cancer treatment	True	False
40	Common adverse effects include headache, fatigue, hypersensitivity, lymphadenopathy, pain in the lymph nodes, nausea, diarrhea and altered taste (10) (11) (44).,Acute kidney injury has been reported following intravenous infusion of andrographolide. Symptoms included flank pain, decreased urine output, and nausea or vomiting (41).	Headache,Fatigue,Hypersensitivity,Lymphadenopathy,Pain,Nausea,Diarrhoea,Diarrhea,Acute kidney injury,Injury,Infusion,Flank pain,Urine output,Vomiting	Andrographis	Cytochrome P450 substrates: Andrographis extract inhibits 1A2, 2C9, 3A4 (37); some compounds of Andrographis were shown to induce CYP1A1 (39). These two properties can affect the intracellular concentration of drugs metabolized by these enzymes.,Anticoagulants and antiplatelet drugs: Data from animal studies indicate possible inhibition of platelet aggregation (34) (35). But an animal study showed that andrographis extract does not interact with warfarin when used concomitantly (38). Patients taking anticoagulant or antiplatelet medications should use andrographis products with caution.,Chemotherapy drugs: Andrographolide has antioxidant effects (21). This can interfere with the actions of some chemotherapy drugs.,Blood pressure lowering drugs: Andrographis may have additive hypotensive effect (32).,UDP-glucoronosyltransferase (UGT) 2B7: Andrographolide derivatives inhibit UGT2B7, and can increase the side effects of drugs metabolized by this enzyme (42).,Aminophylline: Andrographis inhibits CYP1A2, which is involved in metabolizing aminophylline, resulting in increased risk of side effects from the drug (43).	Animal,Warfarin,Enzyme,Aminophylline	Immunostimulation,Inflammation,Influenza,Colds,Cancer,HIV	False	True
44	"Seizures,Sleepiness
 (1),Anemia,Hypernatremia,Fever,Slurred speech,Skin rash,Diuresis
 (2)"	Seizures,Sleepiness,Anemia,Anaemia,Hypernatraemia,Hypernatremia,Fever,Slurred speech,Skin rash,Rash,Diuresis	Antineoplastons	 	 	Cancer treatment	False	False
48	Abdominal pain, bloating, nausea and diarrhea have been reported with oral administration (5) (8) (20).	Abdominal pain,Pain,Bloating,Nausea,Diarrhoea,Diarrhea	Arginine	Large doses of arginine can increase urinary excretion of lysine (21).,Due to arginine’s vasodilatory properties, theoretically it may have additive hypotensive effects with drugs such as antihypertensives, sildenafil and nitrates (11) (20).	Arginine,Lysine,sildenafil	Hypertension,Angina,Atherosclerosis,Wound healing,Immune stimulation,Erectile dysfunction,Migraine headaches	False	False
52	 	 	ArginMax	Anticoagulants: Ginkgo may have additive effects with blood thinning drugs while Ginseng can antagonize their effects.,Antihypertensive and Hypoglycemic drugs: L-arginine may have additive effects with antihypertensive (9) and hypoglycemic (10) drugs.	Arginine	Erectile dysfunction,Female sexual dysfunction	False	True
56	"The FDA has classified pure arnica as an unsafe herb (16), and oral intake of arnica has resulted in serious side effects. Topical and homeopathic arnica are generally considered safe, although one report describes an overdose with homeopathic arnica (see below).
Case reports
Oral, raw herb: Gastrointestinal distress, internal bleeding, tachycardia, dyspnea, and coma (11).
Oral, homeopathic overdose: Severe vomiting followed by acute, bilateral vision loss after accidental overdose (18).
Oral, infant exposure through breast-milk: Hemolytic anemia in a 9-day-old breastfed infant 48 hours after his mother began drinking an arnica flower tea (17).
Topical: Contact dermatitis (8)."	Overdose,Internal bleeding,Bleeding,Tachycardia,Dyspnea,Dyspnoea,Coma,Vomiting,Vision loss,Accidental overdose,Infant,Haemolytic anaemia,Hemolytic anemia,Anemia,Anaemia,Contact dermatitis,Dermatitis	Arnica	"Antiplatelet agents: Arnica inhibits platelet aggregation in vitro (12).
Warfarin or other anticoagulants: Arnica may potentiate their effects (19)."	Warfarin	Bruises,Fevers,Inflammation,Osteoarthritis,Pain,Skin disorders,Sprains	True	True
